iter	Passed	Remaining
845	12335	2245
846	12358	2232
847	12383	2219
848	12409	2207
849	12433	2194
850	12456	2180
851	12478	2167
852	12506	2155
853	12529	2142
854	12552	2128
855	12577	2115
856	12601	2102
857	12624	2089
858	12650	2076
859	12673	2063
860	12697	2049
861	12720	2036
862	12746	2023
863	12769	2009
864	12790	1996
865	12812	1982
866	12835	1968
867	12859	1955
868	12883	1942
869	12909	1928
870	12932	1915
871	12958	1902
872	12982	1888
873	13006	1875
874	13031	1861
875	13054	1847
876	13078	1834
877	13102	1820
878	13125	1806
879	13148	1793
880	13171	1779
881	13193	1765
882	13215	1751
883	13239	1737
884	13261	1723
885	13286	1709
886	13310	1695
887	13333	1681
888	13356	1667
889	13380	1653
890	13403	1639
891	13430	1626
892	13455	1612
893	13479	1598
894	13501	1583
895	13524	1569
896	13547	1555
897	13570	1541
898	13595	1527
899	13622	1513
900	13648	1499
901	13663	1484
902	13676	1469
903	13687	1453
904	13700	1438
905	13713	1422
906	13729	1407
907	13744	1392
908	13760	1377
909	13777	1362
910	13794	1347
911	13809	1332
912	13824	1317
913	13838	1302
914	13850	1286
915	13863	1271
916	13877	1256
917	13893	1241
918	13908	1225
919	13922	1210
920	13934	1195
921	13946	1179
922	13959	1164
923	13971	1149
924	13984	1133
925	13995	1118
926	14007	1103
927	14020	1087
928	14032	1072
929	14044	1057
930	14058	1041
931	14071	1026
932	14086	1011
933	14099	996
934	14113	981
935	14130	966
936	14151	951
937	14168	936
938	14184	921
939	14198	906
940	14212	891
941	14225	875
942	14239	860
943	14252	845
944	14266	830
945	14278	815
946	14292	799
947	14303	784
948	14318	769
949	14330	754
950	14344	739
951	14357	723
952	14370	708
953	14384	693
954	14397	678
955	14412	663
956	14425	648
957	14439	633
958	14453	617
959	14466	602
960	14481	587
961	14495	572
962	14505	557
963	14518	542
964	14529	526
965	14541	511
966	14552	496
967	14562	481
968	14574	466
969	14586	451
970	14599	436
971	14612	420
972	14624	405
973	14637	390
974	14649	375
975	14661	360
976	14672	345
977	14685	330
978	14695	315
979	14707	300
980	14718	285
981	14729	269
982	14743	254
983	14755	239
984	14766	224
985	14778	209
986	14790	194
987	14802	179
988	14814	164
989	14825	149
990	14837	134
991	14849	119
992	14861	104
993	14884	89
994	14907	74
995	14932	59
996	14958	45
997	14981	30
998	15006	15
999	15029	0
